date,hospitalCases,newAdmissions,newCasesByPublishDate,retail_and_recreation_change,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-07-30,1314.0,132.0,846,-23.0,-7.0,120.0,-41.0,-48.0,13.0
2020-07-31,1266.0,115.0,880,-29.0,-11.0,120.0,-37.0,-48.0,11.0
2020-08-01,1290.0,127.0,761,-36.0,-14.0,72.0,-30.0,-14.0,4.0
2020-08-02,1254.0,95.0,744,-28.0,-15.0,93.0,-27.0,-9.0,2.0
2020-08-03,1251.0,110.0,898,-15.0,-11.0,115.0,-39.0,-49.0,11.0
2020-08-04,1216.0,128.0,670,-19.0,-13.0,89.0,-42.0,-49.0,13.0
2020-08-05,1200.0,140.0,892,-16.0,-13.0,86.0,-43.0,-48.0,13.0
2020-08-06,1155.0,102.0,950,-23.0,-10.0,120.0,-42.0,-48.0,12.0
2020-08-07,1094.0,116.0,871,-28.0,-12.0,114.0,-39.0,-48.0,11.0
2020-08-08,1027.0,141.0,758,-35.0,-14.0,92.0,-31.0,-13.0,3.0
2020-08-09,983.0,107.0,1062,-28.0,-15.0,103.0,-27.0,-8.0,1.0
2020-08-10,1087.0,88.0,740,-11.0,-11.0,118.0,-40.0,-48.0,11.0
2020-08-11,1039.0,114.0,1148,-13.0,-11.0,118.0,-41.0,-48.0,12.0
2020-08-12,1004.0,101.0,1009,-14.0,-11.0,100.0,-42.0,-47.0,12.0
2020-08-13,1008.0,130.0,1129,-24.0,-10.0,89.0,-43.0,-48.0,13.0
2020-08-14,995.0,103.0,1441,-26.0,-12.0,76.0,-39.0,-46.0,12.0
2020-08-15,974.0,99.0,1077,-33.0,-15.0,50.0,-33.0,-13.0,4.0
2020-08-16,979.0,80.0,1040,-29.0,-18.0,52.0,-32.0,-10.0,3.0
2020-08-17,982.0,98.0,713,-9.0,-14.0,80.0,-41.0,-48.0,11.0
2020-08-18,953.0,131.0,1089,-11.0,-13.0,93.0,-41.0,-46.0,12.0
2020-08-19,924.0,117.0,812,-15.0,-17.0,39.0,-44.0,-46.0,13.0
2020-08-20,909.0,98.0,1182,-19.0,-10.0,121.0,-40.0,-46.0,11.0
2020-08-21,888.0,109.0,1033,-26.0,-13.0,56.0,-40.0,-45.0,12.0
2020-08-22,943.0,72.0,1288,-31.0,-15.0,53.0,-32.0,-11.0,4.0
2020-08-23,870.0,74.0,1160,-26.0,-17.0,64.0,-29.0,-7.0,2.0
2020-08-24,876.0,93.0,853,-3.0,-12.0,105.0,-38.0,-46.0,10.0
2020-08-25,844.0,122.0,1184,-13.0,-16.0,31.0,-45.0,-47.0,13.0
2020-08-26,829.0,132.0,1048,-3.0,-11.0,90.0,-38.0,-44.0,11.0
2020-08-27,840.0,152.0,1522,-21.0,-12.0,55.0,-42.0,-45.0,12.0
2020-08-28,818.0,137.0,1276,-20.0,-9.0,51.0,-37.0,-45.0,11.0
2020-08-29,833.0,110.0,1108,-27.0,-13.0,49.0,-29.0,-12.0,3.0
2020-08-30,831.0,78.0,1715,-15.0,-14.0,94.0,-23.0,-7.0,1.0
2020-08-31,854.0,91.0,1406,3.0,-17.0,152.0,-43.0,-68.0,14.0
2020-09-01,861.0,134.0,1295,-15.0,-6.0,94.0,-37.0,-44.0,10.0
2020-09-02,803.0,147.0,1508,-20.0,-11.0,48.0,-41.0,-42.0,11.0
2020-09-03,817.0,146.0,1735,-20.0,-10.0,58.0,-40.0,-42.0,11.0
