areaCode,areaName,areaType,date,hospitalCases,newAdmissions,newCasesByPublishDate,newPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate
K02000001,United Kingdom,overview,2020-12-18,19117,1917,28507,,
K02000001,United Kingdom,overview,2020-12-17,18970,2144,35383,,
K02000001,United Kingdom,overview,2020-12-16,18671,2079,25161,,
K02000001,United Kingdom,overview,2020-12-15,18216,1957,18450,,
K02000001,United Kingdom,overview,2020-12-14,18246,1955,20263,,
K02000001,United Kingdom,overview,2020-12-13,17538,1753,18447,,
K02000001,United Kingdom,overview,2020-12-12,16909,1799,21502,,
K02000001,United Kingdom,overview,2020-12-11,16885,1686,21672,,
K02000001,United Kingdom,overview,2020-12-10,16723,1750,20964,,
K02000001,United Kingdom,overview,2020-12-09,16331,1754,16578,,
K02000001,United Kingdom,overview,2020-12-08,16477,1783,12282,,
K02000001,United Kingdom,overview,2020-12-07,16415,1661,14718,,
K02000001,United Kingdom,overview,2020-12-06,15960,1470,17272,,
K02000001,United Kingdom,overview,2020-12-05,15688,1378,15539,,
K02000001,United Kingdom,overview,2020-12-04,15727,1433,16298,,
K02000001,United Kingdom,overview,2020-12-03,15658,1502,14879,,
K02000001,United Kingdom,overview,2020-12-02,15976,1486,16170,,
K02000001,United Kingdom,overview,2020-12-01,16311,1490,13430,,
K02000001,United Kingdom,overview,2020-11-30,16564,1404,12330,,
K02000001,United Kingdom,overview,2020-11-29,16312,1384,12155,,
K02000001,United Kingdom,overview,2020-11-28,15985,1220,15871,,
K02000001,United Kingdom,overview,2020-11-27,16571,1280,16022,,
K02000001,United Kingdom,overview,2020-11-26,16762,1424,17555,,
K02000001,United Kingdom,overview,2020-11-25,17132,1613,18213,,
K02000001,United Kingdom,overview,2020-11-24,17424,1495,11299,,
K02000001,United Kingdom,overview,2020-11-23,17680,1587,15450,,
K02000001,United Kingdom,overview,2020-11-22,17264,1488,18662,,
K02000001,United Kingdom,overview,2020-11-21,17063,1460,19875,,
K02000001,United Kingdom,overview,2020-11-20,17184,1548,20252,,
K02000001,United Kingdom,overview,2020-11-19,17459,1684,22915,,
K02000001,United Kingdom,overview,2020-11-18,17486,1782,19609,,
K02000001,United Kingdom,overview,2020-11-17,17439,1716,20051,,
K02000001,United Kingdom,overview,2020-11-16,17313,1768,21363,,
K02000001,United Kingdom,overview,2020-11-15,16864,1669,24962,,
K02000001,United Kingdom,overview,2020-11-14,16299,1613,26860,,
K02000001,United Kingdom,overview,2020-11-13,16236,1648,27301,,
K02000001,United Kingdom,overview,2020-11-12,15879,1916,33470,,
K02000001,United Kingdom,overview,2020-11-11,15666,1971,22950,,
